Gen,创,创世记,Genesis;
Exo,出,出埃及记,Exodus;
Lev,利,利未记,Leviticus;
Num,民,民数记,Numbers;
Deu,申,申命记,Deuteronomy;
Jos,书,约书亚记,Joshua;
Judg,士,士师记  ,Judges;
Rut,得,路得记,Ruth;
1Sa,撒上,撒母耳记上,1 Samuel;
2Sa,撒下,撒母耳记下,2 Samuel;
1Ki,王上 ,列王记上,1 Kings;
2Ki,王下,列王记下,2 Kings;
1Ch,代上,历代志上,1 Chronicles;
2Ch,代下,历代志下,2 Chronicles;
Ezr,拉,以斯拉记,Ezra;
Neh,尼,尼希米记,Nehemiah;
Est,斯,以斯帖记,Esther;
Job,伯,约伯记,Job;
Psa,诗,诗篇,Psalms;
Pro,箴,箴言,Proverbs;
Ecc,传,传道书,Ecclesiastes;
Song,歌,雅歌,Song of Solomon;
Isa,赛,以赛亚书,Isaiah;
Jer,耶,耶利米书,Jeremiah;
Lam,哀,耶利米哀歌,Lamentations;
Eze,结,以西结书,Ezekiel;
Dan,但,但以理书,Daniel;
Hos,何,何西阿书,Hosea;
Joe,珥,约珥书,Joel;
Amo,摩,阿摩司书,Amos;
Obd,俄,俄巴底亚书,Obadiah;
Jon,拿,约拿书,Jonah;
Mic,弥,弥迦书,Micah;
Nah,鸿,那鸿书,Nahum;
Hab,哈,哈巴谷书,Habakuk;
Zep,番,西番雅书,Zephaniah;
Hag,该,哈该书,Haggai;
Zec,亚,撒迦利亚书,Zechariah;
Mal,玛 ,玛拉基书,Malachi;
Mat,太,马太福音,Matthew;
Mar,可,马可福音,Mark;
Luk,路,路加福音,Luke;
Joh,约,约翰福音,John;
Act,徒,使徒行传,Acts;
Rom,罗,罗马书,Romans;
1Cor,林前,歌林多前书,1 Corinthians;
2Cor,林后,歌林多后书,2 Corinthians;
Gal,加,加拉太书,Galatians;
Eph,弗,以弗所书,Ephesians;
Phili,腓,腓利比书,Philippians;
Col,西,歌罗西书,Colossians;
1Th,帖前,帖撒罗尼迦前书,1 Thessalonians;
2Th,帖后,帖撒罗尼迦后书,2 Thessalonians;
1Ti,提前,提摩太前书,1 Timothy;
2Ti,提后,提摩太后书,2 Timothy;
Tit,多,提多书,Titus;
Phile,门,腓利门书,Philemon;
Heb,来,希伯来书,Hebrews;
Jam,雅,雅各书,James;
1Pe,彼前,彼得前书,1 Peter;
2Pe,彼后,彼得后书,2 Peter;
1Jo,约壹,约翰一书,1 John;
2Jo,约贰,约 翰二书,2 John;
3Jo,约叁,约翰三书,3 John;
Jude,犹,犹大书,Jude;
Rev,启,启示录,Revelation;
