Genesis,创,创世记,Genesis;
Exodus,出,出埃及记,Exodus;
Levitikus,利,利未记,Levitikus;
Numeri,民,民数记,Numeri;
Deuteronomium,申,申命记,Deuteronomium;
Josua,书,约书亚记,Josua;
Rigters,士,士师记  ,Rigters;
Rut,得,路得记,Rut;
1 Samuel,撒上,撒母耳记上,1 Samuel;
2 Samuel,撒下,撒母耳记下,2 Samuel;
1 Konings,王上 ,列王记上,1 Konings;
2 Konings,王下,列王记下,2 Konings;
1 Kronieke,代上,历代志上,1 Kronieke;
2 Kronieke,代下,历代志下,2 Kronieke;
Esra,拉,以斯拉记,Esra;
Nehemia,尼,尼希米记,Nehemia;
Ester,斯,以斯帖记,Ester;
Job,伯,约伯记,Job;
Psalms,诗,诗篇,Psalms;
Spreuke van Salomo,箴,箴言,Spreuke van Salomo;
Prediker,传,传道书,Prediker;
Hooglied van Salomo,歌,雅歌,Hooglied van Salomo;
Jesaja,赛,以赛亚书,Jesaja;
Jeremia,耶,耶利米书,Jeremia;
Klaagliedere van Jeremia,哀,耶利米哀歌,Klaagliedere van Jeremia;
Esegiël,结,以西结书,Esegiël;
Daniël,但,但以理书,Daniël;
Hosea,何,何西阿书,Hosea;
Joël,珥,约珥书,Joël;
Amos,摩,阿摩司书,Amos;
Obadja,俄,俄巴底亚书,Obadja;
Jona,拿,约拿书,Jona;
Miga,弥,弥迦书,Miga;
Nahum,鸿,那鸿书,Nahum;
Habakuk,哈,哈巴谷书,Habakuk;
Sefanja,番,西番雅书,Sefanja;
Haggai,该,哈该书,Haggai;
Sagaria,亚,撒迦利亚书,Sagaria;
Maleagi,玛 ,玛拉基书,Maleagi;
Matteus,太,马太福音,Matteus;
Markus,可,马可福音,Markus;
Lukas,路,路加福音,Lukas;
Johannes,约,约翰福音,Johannes;
Handelinge,徒,使徒行传,Handelinge;
Romeine,罗,罗马书,Romeine;
1 Korintiërs,林前,歌林多前书,1 Korintiërs;
2 Korintiërs,林后,歌林多后书,2 Korintiërs;
Galasiërs,加,加拉太书,Galasiërs;
Efesiërs,弗,以弗所书,Efesiërs;
Filipense,腓,腓利比书,Filipense;
Kolossense,西,歌罗西书,Kolossense;
1 Tessalonisense,帖前,帖撒罗尼迦前书,1 Tessalonisense;
2 Thessalonisense,帖后,帖撒罗尼迦后书,2 Thessalonisense;
1 Timoteus,提前,提摩太前书,1 Timoteus;
2 Timoteus,提后,提摩太后书,2 Timoteus;
Titus,多,提多书,Titus;
Filemon,门,腓利门书,Filemon;
Hebreërs,来,希伯来书,Hebreërs;
Jakobus,雅,雅各书,Jakobus;
1 Petrus,彼前,彼得前书,1 Petrus;
2 Petrus,彼后,彼得后书,2 Petrus;
1 Johannes,约壹,约翰一书,1 Johannes;
2 Johannes,约贰,约 翰二书,2 Johannes;
3 Johannes,约叁,约翰三书,3 Johannes;
Judas,犹,犹大书,Judas;
Openbaring,启,启示录,Openbaring;
